,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,2018-10-04 19:07,0,Fortnite,157105,14337,37030
1,2018-10-04 19:07,1,League of Legends,132499,2430,24024
2,2018-10-04 19:07,2,World of Warcraft,59650,1252,19783
3,2018-10-04 19:07,3,FIFA 19,43955,669,68608
4,2018-10-04 19:07,4,Dota 2,43495,522,32887
5,2018-10-04 19:07,5,Just Chatting,39824,520,0
6,2018-10-04 19:07,6,Counter-Strike: Global Offensive,38090,1107,36113
7,2018-10-04 19:07,7,Warframe,32075,172,38788
8,2018-10-04 19:07,8,Assassin's Creed Odyssey,30463,415,68771
9,2018-10-04 19:07,9,PLAYERUNKNOWN'S BATTLEGROUNDS,26243,1339,54979
10,2018-10-04 19:07,10,Overwatch,25347,1292,48190
11,2018-10-04 19:07,11,Grand Theft Auto V,24250,538,36765
12,2018-10-04 19:07,12,Hearthstone,19705,178,42033
13,2018-10-04 19:07,13,Casino,18879,44,0
14,2018-10-04 19:07,14,Magic: The Gathering,15352,248,68425
15,2018-10-04 19:07,15,Destiny 2,14353,1267,52647
16,2018-10-04 19:07,16,Always On,13528,18,0
17,2018-10-04 19:07,17,Dead by Daylight,13350,724,52693
18,2018-10-04 19:07,18,Escape From Tarkov,12436,212,53106
19,2018-10-04 19:07,19,Tales of Berseria,10953,10,49874
20,2018-10-04 19:07,20,Tom Clancy's Rainbow Six: Siege,9978,1037,46562
21,2018-10-04 19:07,21,Mega Man 11,9743,91,63036
22,2018-10-04 19:07,22,Special Events,8814,13,0
23,2018-10-04 19:07,23,Battlerite Royale,8756,135,69841
24,2018-10-04 19:07,24,Path of Exile,7731,219,32562
